PCIS Permit #,Permit Sub-Type,Issue Date,Valuation
14010-10000-00501,Apartment,7/20/2015,"$5,120,150.00 "
14014-70000-00925,1 or 2 Family Dwelling,3/14/2014,"$12,000.00 "
13010-20000-04257,1 or 2 Family Dwelling,5/2/2014,"$544,000.00 "
13010-10000-02456,Apartment,10/22/2014,"$627,485.00 "
13014-20000-01581,1 or 2 Family Dwelling,4/29/2013,"$27,000.00 "
14014-20000-01817,1 or 2 Family Dwelling,5/20/2014,"$6,500.00 "
14014-20000-01338,1 or 2 Family Dwelling,5/30/2014,"$150,000.00 "
15014-20000-02677,1 or 2 Family Dwelling,7/10/2015,"$20,000.00 "
14014-20001-03308,1 or 2 Family Dwelling,9/29/2014,"$33,000.00 "
14010-10000-02021,1 or 2 Family Dwelling,8/20/2014,"$1,279,355.00 "
15014-10001-02622,1 or 2 Family Dwelling,3/3/2016,"$10,000.00 "
14010-20000-03721,1 or 2 Family Dwelling,12/1/2015,"$287,000.00 "
15010-10000-01595,1 or 2 Family Dwelling,12/10/2015,"$1,000,000.00 "
14010-10000-00551,Commercial,9/11/2014,"$20,000.00 "
14010-30000-02034,1 or 2 Family Dwelling,12/15/2014,"$5,300,000.00 "
12010-20000-00296,1 or 2 Family Dwelling,1/8/2013,"$110,000.00 "
13010-10000-03890,1 or 2 Family Dwelling,5/14/2015,"$264,017.00 "
16014-20000-01498,1 or 2 Family Dwelling,4/11/2016,"$7,500.00 "
12014-40000-01547,Apartment,8/29/2013,"$1,672,000.00 "
13010-10000-00943,Commercial,3/4/2015,"$180,000.00 "
15014-70000-01038,1 or 2 Family Dwelling,5/5/2015,"$33,000.00 "
15014-10000-02453,Apartment,9/22/2015,"$2,400.00 "
13010-10001-02664,Apartment,10/28/2015,"$4,000.00 "
14014-10001-04825,1 or 2 Family Dwelling,12/10/2015,"$15,000.00 "
13014-30000-03701,1 or 2 Family Dwelling,9/26/2013,"$100,000.00 "
16014-20000-01196,1 or 2 Family Dwelling,3/21/2016,"$23,000.00 "
15010-10000-04452,1 or 2 Family Dwelling,4/1/2016,"$20,000.00 "
13010-20000-03654,Apartment,7/24/2014,"$1,500,000.00 "
15014-30000-00193,1 or 2 Family Dwelling,3/24/2015,"$50,000.00 "
13014-20000-00383,1 or 2 Family Dwelling,2/12/2013,"$70,000.00 "
