PCIS Permit #,Permit Sub-Type,Issue Date,Valuation,Floor Area-L.A. Zoning Code Definition,# of Residential Dwelling Units,# of Stories,Zone,Floor Area-L.A. Building Code Definition,Council District,Latitude/Longitude
15010-20000-01157,1 or 2 Family Dwelling,9/4/2015,"$200,000.00 ",2200,1,2,R1-1,2561,2,"(34.19201, -118.40624)"
14016-30001-22455,1 or 2 Family Dwelling,12/10/2015,"$70,000.00 ",5469,0,2,R1-1,473,4,"(34.09926, -118.36673)"
15014-30000-05646,1 or 2 Family Dwelling,3/30/2016,"$40,000.00 ",0,0,0,R2-1VL,360,13,
15014-20000-01542,1 or 2 Family Dwelling,5/1/2015,"$22,000.00 ",113,,1,R1-1-RFA-RIO,113,2,"(34.15114, -118.41801)"
15014-10000-01409,1 or 2 Family Dwelling,8/31/2015,"$62,000.00 ",553.5,0,2,R1-1,777.5,11,"(33.98773, -118.4481)"
14010-10000-03534,Commercial,9/14/2015,"$8,050,800.00 ",0,,7,M3-1-RIO,121912,14,"(34.04402, -118.23548)"
13014-20000-02193,1 or 2 Family Dwelling,9/19/2013,"$50,000.00 ",395,,0,RE40-1-H,395,4,"(34.1146, -118.41723)"
12010-30000-02544,1 or 2 Family Dwelling,2/15/2013,"$60,000.00 ",380,,1,RE15-1-H,380,5,"(34.11521, -118.39053)"
13014-10000-02572,1 or 2 Family Dwelling,12/2/2013,"$30,000.00 ",1531,0,1,R1-1,0,4,"(34.17329, -118.46271)"
14014-10000-04905,1 or 2 Family Dwelling,12/17/2014,"$18,000.00 ",1292,0,1,[Q]R1-1D,166,14,"(34.06573, -118.17651)"
15010-10000-00632,1 or 2 Family Dwelling,4/8/2016,"$567,800.00 ",3501,1,2,R1-1-O,4289,5,"(34.07995, -118.37407)"
13014-20000-02801,Apartment,7/15/2013,"$5,000.00 ",61,0,0,R3-1,61,4,"(34.15198, -118.35835)"
12010-20000-02624,1 or 2 Family Dwelling,2/5/2013,"$30,000.00 ",448,0,1,RA-1,734,3,"(34.14369, -118.55123)"
16010-20000-01147,1 or 2 Family Dwelling,4/8/2016,"$7,000.00 ",,,1,R1-1-RFA,324,7,"(34.2632, -118.30344)"
15010-10000-01982,1 or 2 Family Dwelling,9/16/2015,"$500,000.00 ",3000,1,3,RD1.5-1,3590,11,"(33.99308, -118.4495)"
16014-20000-01495,1 or 2 Family Dwelling,4/19/2016,"$7,500.00 ",0,,0,R1-1-RFA-RIO,43.5,2,"(34.1447, -118.40401)"
15010-20000-04557,1 or 2 Family Dwelling,3/11/2016,"$160,000.00 ",736,2,2,RD1.5-1XL,736,13,
14014-40000-04028,1 or 2 Family Dwelling,1/26/2015,"$70,300.00 ",0,0,2,R1-1XL,626.86,15,"(33.74854, -118.30086)"
14014-10000-05149,1 or 2 Family Dwelling,9/29/2015,"$450,000.00 ",4277,,2,R1-1VLD,2982,11,"(34.00157, -118.45433)"
15010-20000-02682,1 or 2 Family Dwelling,3/23/2016,"$256,741.00 ",2322,1,2,(T)(Q)RD3-1-RIO,2779,6,"(34.19365, -118.5109)"
15014-30000-03896,1 or 2 Family Dwelling,8/26/2015,"$15,000.00 ",420,0,2,RE15-1-HPOZ,420,4,"(34.06247, -118.33452)"
15014-30000-05456,1 or 2 Family Dwelling,2/4/2016,"$700,000.00 ",6874,0,2,RE15-1-H,4265,5,"(34.14736, -118.49788)"
15010-30000-00313,Apartment,9/8/2015,"$2,900,000.00 ",15228,13,5,R3-1,28846,11,"(34.04309, -118.46139)"
15014-10000-00050,1 or 2 Family Dwelling,9/11/2015,"$160,000.00 ",2306,,1,R2-1,1300,9,"(33.98576, -118.29712)"
13014-20000-00319,1 or 2 Family Dwelling,4/5/2013,"$99,000.00 ",698.5,,2,RS-1,726.5,3,"(34.18916, -118.65041)"
13010-20000-03990,1 or 2 Family Dwelling,6/11/2015,"$181,600.00 ",1494,1,2,(T)(Q)RD2-1,1909,6,"(34.20888, -118.46323)"
15014-20000-04003,1 or 2 Family Dwelling,10/20/2015,"$769,000.00 ",1888,,2,RE20-1-H,2270,5,"(34.08008, -118.468)"
14014-10000-03453,1 or 2 Family Dwelling,1/7/2016,"$19,798.00 ",423,,0,R1-1,191,1,"(34.09476, -118.22164)"
15010-30000-00536,1 or 2 Family Dwelling,5/22/2015,"$85,000.00 ",456,,1,RE20-1-H,883,5,"(34.10459, -118.45051)"
13010-10000-01800,1 or 2 Family Dwelling,11/19/2014,"$200,000.00 ",1827,0,2,R1-1,1372,1,"(34.10688, -118.22806)"
15014-20000-05827,1 or 2 Family Dwelling,12/18/2015,"$50,000.00 ",0,,0,RE11-1,0,3,"(34.16767, -118.6377)"
12010-20002-01763,1 or 2 Family Dwelling,1/20/2016,"$1,500.00 ",300,,0,RE40-1,95,5,"(34.07492, -118.42911)"
14010-30001-04203,Commercial,1/6/2016,"$60,000.00 ",16673,,1,[T][Q]M2-1VL,1108,6,"(34.21347, -118.50092)"
15010-10000-03187,Commercial,3/11/2016,"$50,000.00 ",700,,1,M2-2D,670,14,"(34.02676, -118.24871)"
14014-30000-05299,1 or 2 Family Dwelling,2/18/2015,"$57,000.00 ",3120.6,0,2,R1-1-O,275,5,"(34.05682, -118.42843)"
14010-40000-03943,1 or 2 Family Dwelling,2/13/2015,"$22,000.00 ",360,,1,R2-1XL,360,15,"(33.72683, -118.28515)"
15010-20000-00070,1 or 2 Family Dwelling,4/7/2015,"$725,000.00 ",4840,1,2,R1-1,5240,11,"(34.04829, -118.4693)"
14010-30000-03786,1 or 2 Family Dwelling,10/13/2015,"$3,090,632.00 ",12263,1,2,RE15-1-H,16571,11,"(34.05905, -118.50501)"
16014-20000-00285,Commercial,3/30/2016,"$4,000.00 ",48,,0,WC,48,3,"(34.17705, -118.59939)"
14010-10001-01940,1 or 2 Family Dwelling,2/25/2016,"$25,000.00 ",215,,0,RD2-1VL,215,13,"(34.09492, -118.25937)"
14014-20000-00467,1 or 2 Family Dwelling,2/24/2015,"$61,500.00 ",2000,,2,RS-1,378,7,"(34.25432, -118.45901)"
