PCIS Permit #,Permit Sub-Type,Issue Date,Valuation,Floor Area-L.A. Zoning Code Definition,# of Residential Dwelling Units,# of Stories,Zone,Floor Area-L.A. Building Code Definition,Council District,Latitude/Longitude
16010-30000-01850,1 or 2 Family Dwelling,7/18/2016,"$35,650.00 ",0,,1,R2-1,361,9,
16010-10000-01270,1 or 2 Family Dwelling,7/20/2016,"$15,000.00 ",551,,1,R2-1,551,9,"(33.99229, -118.27727)"
16014-10000-03218,1 or 2 Family Dwelling,7/18/2016,"$50,000.00 ",420,,0,RS-1,420,2,"(34.2197, -118.4185)"
16014-20000-01230,1 or 2 Family Dwelling,7/21/2016,"$200,000.00 ",5470,0,2,R1-1-RIO,658,4,"(34.14844, -118.35008)"
15010-30000-03387,Apartment,7/21/2016,"$795,000.00 ",5585,4,4,R3-1,7231,11,"(34.03992, -118.44161)"
13010-70002-03998,1 or 2 Family Dwelling,7/21/2016,"$23,300.00 ",2215,0,1,R1-1-O,374,15,"(33.91858, -118.2859)"
16014-30001-00167,1 or 2 Family Dwelling,7/20/2016,$501.00 ,12,0,2,R1-1,12,4,"(34.10231, -118.36034)"
16010-10000-01466,1 or 2 Family Dwelling,7/18/2016,"$323,200.00 ",3071,1,2,R1-1,3410,6,
16014-20000-03301,1 or 2 Family Dwelling,7/21/2016,"$35,000.00 ",553.36,0,0,RE11-1,553.36,12,"(34.25268, -118.50913)"
16014-20000-03463,1 or 2 Family Dwelling,7/21/2016,"$50,000.00 ",468,,1,R1-1,468,10,"(34.0069, -118.31915)"
15014-10001-00871,1 or 2 Family Dwelling,7/15/2016,"$10,000.00 ",2304,,1,R1-1,298,14,"(34.14082, -118.20093)"
16014-10000-03184,1 or 2 Family Dwelling,7/18/2016,"$45,000.00 ",1485,,1,RD1.5-1,397,10,"(34.02736, -118.33036)"
16014-20000-03420,1 or 2 Family Dwelling,7/19/2016,"$4,500.00 ",238,0,1,R1-1-RIO,238,3,"(34.19595, -118.56783)"
16014-20000-01289,1 or 2 Family Dwelling,7/18/2016,"$30,000.00 ",3249,0,2,RA-1,184,5,"(34.14845, -118.50831)"
16014-20000-03167,1 or 2 Family Dwelling,7/19/2016,"$50,000.00 ",452,,1,R1-1,452,7,"(34.29671, -118.44693)"
16014-20000-01323,1 or 2 Family Dwelling,7/18/2016,"$60,000.00 ",430,0,1,R1-1,430,3,"(34.19566, -118.51982)"
16014-30000-03248,1 or 2 Family Dwelling,7/15/2016,"$195,000.00 ",838,0,1,RE9-1,838,4,"(34.17101, -118.43329)"
16010-20000-03035,1 or 2 Family Dwelling,7/19/2016,"$14,000.00 ",690,0,1,RS-1,690,12,"(34.25839, -118.4819)"
16014-20000-03261,1 or 2 Family Dwelling,7/21/2016,"$18,000.00 ",182,,0,R1-1-RIO,182,4,"(34.15791, -118.43332)"
14014-10000-05174,1 or 2 Family Dwelling,7/15/2016,"$165,900.00 ",1317,,2,R1-1,1317,1,"(34.10457, -118.22488)"
16014-10000-03346,1 or 2 Family Dwelling,7/19/2016,"$43,600.00 ",1770,0,1,RS-1,436,2,"(34.21365, -118.40102)"
16010-10000-01523,1 or 2 Family Dwelling,7/19/2016,"$475,000.00 ",3175,2,2,R2-1,3848,8,
16010-30000-01108,1 or 2 Family Dwelling,7/19/2016,"$560,000.00 ",2483,1,1,R1-1D-O,3078,11,"(34.03308, -118.51002)"
16010-30000-00907,1 or 2 Family Dwelling,7/15/2016,"$600,000.00 ",3839,1,2,C4-1,3839,11,"(33.99871, -118.47262)"
16010-10000-00269,1 or 2 Family Dwelling,7/18/2016,"$325,000.00 ",2813,1,2,R1-1-O,3156,5,"(34.07969, -118.37226)"
15014-20000-03850,1 or 2 Family Dwelling,7/18/2016,"$540,000.00 ",3834,0,1,RA-1,1587,12,"(34.22431, -118.51721)"
16010-30000-01849,1 or 2 Family Dwelling,7/18/2016,"$315,900.00 ",3159,2,2,R2-1,3159,9,
15014-70000-04449,1 or 2 Family Dwelling,7/18/2016,"$22,000.00 ",982,,0,R2-1,212,9,"(33.99881, -118.25358)"
16010-10000-01467,1 or 2 Family Dwelling,7/18/2016,"$121,200.00 ",1200,,1,R1-1,1377,6,
16010-20000-01423,1 or 2 Family Dwelling,7/21/2016,"$12,000.00 ",,,1,(T)(Q)RA-1-K,677,12,
16014-20000-03135,1 or 2 Family Dwelling,7/18/2016,"$51,000.00 ",496,,1,R1-1,496,6,"(34.1962, -118.48068)"
16014-20000-03324,1 or 2 Family Dwelling,7/20/2016,"$4,000.00 ",323,,1,R1-1,323,14,"(34.12113, -118.18246)"
16014-20000-02711,1 or 2 Family Dwelling,7/18/2016,"$40,000.00 ",242,0,2,RD2-1-O,242,10,"(34.04326, -118.34946)"
15010-20000-01687,Apartment,7/28/2016,"$1,050,000.00 ",8043,5,3,[Q]RD1.5-1,10710,4,"(34.1651, -118.45978)"
16010-30000-00356,1 or 2 Family Dwelling,7/22/2016,"$710,000.00 ",7908,1,2,RE11-1,8308,11,"(34.04507, -118.50896)"
16014-20000-02659,1 or 2 Family Dwelling,7/27/2016,"$140,000.00 ",643,,0,RA-1-K,1158,7,"(34.32176, -118.47325)"
16014-10000-01136,1 or 2 Family Dwelling,7/27/2016,"$56,400.00 ",3288,1,2,RD1.5-1,672,9,"(33.99819, -118.2792)"
16014-30000-01248,1 or 2 Family Dwelling,7/25/2016,"$480,000.00 ",4336,0,3,R1-1-O,2643,5,"(34.04242, -118.39039)"
15014-30000-04852,1 or 2 Family Dwelling,7/28/2016,"$847,000.00 ",7549,0,2,RE20-1,7203,5,"(34.07929, -118.43897)"
15010-20000-04265,1 or 2 Family Dwelling,7/26/2016,"$64,000.00 ",148,,2,RA-1,1247,3,"(34.16772, -118.55795)"
16014-10000-02468,1 or 2 Family Dwelling,7/25/2016,"$65,000.00 ",640,0,0,R1-1-RIO,640,13,"(34.13632, -118.26816)"
16014-20000-00540,1 or 2 Family Dwelling,7/28/2016,"$79,480.00 ",3133,0,2,RA-1,1125,3,"(34.15589, -118.54539)"
16010-10000-00658,Commercial,7/26/2016,"$18,500,000.00 ",78145,,3,M1-2-O,301264,9,"(34.0343, -118.27237)"
16014-30000-02857,1 or 2 Family Dwelling,7/28/2016,"$75,000.00 ",2068.25,0,1,R2-1,456.25,11,"(33.96033, -118.38749)"
15014-30000-05330,1 or 2 Family Dwelling,7/28/2016,"$85,000.00 ",538,0,1,R1-1-O,538,5,"(34.03763, -118.42904)"
16014-20000-01500,1 or 2 Family Dwelling,7/22/2016,"$170,000.00 ",4131,0,2,RA-1,1075,3,"(34.15164, -118.55299)"
16014-20000-03545,1 or 2 Family Dwelling,7/27/2016,"$25,000.00 ",236,0,0,R1-1,236,2,"(34.21162, -118.40109)"
16014-30000-03530,1 or 2 Family Dwelling,7/28/2016,"$5,000.00 ",2162,0,1,R1-1,32,5,"(34.07016, -118.33954)"
16010-20000-00394,1 or 2 Family Dwelling,7/27/2016,"$430,000.00 ",3217,1,2,[T]RE-1,3669,12,"(34.29271, -118.57949)"
16010-20000-00402,1 or 2 Family Dwelling,7/27/2016,"$440,000.00 ",3362,1,2,[T]RE-1,3803,12,"(34.2915, -118.57879)"
16010-10000-00626,Apartment,7/25/2016,"$4,500,000.00 ",24558,24,4,C2-1VL-O,37702,9,
16014-20000-01931,1 or 2 Family Dwelling,7/25/2016,"$200,000.00 ",15,,2,RE15-1-H,15,4,"(34.13895, -118.43366)"
16014-10000-03217,1 or 2 Family Dwelling,7/27/2016,"$15,000.00 ",0,,0,R2-1XL,232,5,"(34.08665, -118.35648)"
16014-20000-03495,1 or 2 Family Dwelling,7/27/2016,"$13,000.00 ",594,0,0,R1-1,270,2,"(34.15873, -118.38647)"
15010-10000-02565,Apartment,7/22/2016,"$4,448,949.00 ",41810,26,4,R3-1-O,61958,5,
16010-10000-00972,1 or 2 Family Dwelling,7/26/2016,"$100,000.00 ",361,,1,RD1.5-1,361,2,"(34.1797, -118.36388)"
15010-10000-03767,1 or 2 Family Dwelling,7/25/2016,"$200,000.00 ",1527,1,3,R3-1,1896,4,"(34.05631, -118.3141)"
15010-10000-04647,1 or 2 Family Dwelling,7/26/2016,"$31,400.00 ",314,,1,R2-1,314,1,"(34.1171, -118.20798)"
16010-30000-03243,1 or 2 Family Dwelling,7/28/2016,"$77,000.00 ",,,1,RA-1,1440,3,"(34.2137, -118.55141)"
15010-30001-04092,1 or 2 Family Dwelling,7/22/2016,"$50,000.00 ",2330.67,,1,RA-1,2330.67,11,"(34.06229, -118.47957)"
16014-10000-02150,1 or 2 Family Dwelling,7/28/2016,"$30,000.00 ",3310,0,0,R1-1,60,11,"(34.0621, -118.47759)"
16014-30000-03155,1 or 2 Family Dwelling,7/22/2016,"$100,000.00 ",430,0,1,R1-1,430,5,"(34.03587, -118.39262)"
13010-10000-03155,Apartment,6/15/2015,"$1,850,436.00 ",14091,15,3,[Q]R3-1,20649,2,"(34.19531, -118.43098)"
16014-20000-02959,1 or 2 Family Dwelling,7/22/2016,"$15,000.00 ",368,,0,R1-1,360,2,"(34.19986, -118.40747)"
16014-30000-01840,1 or 2 Family Dwelling,7/25/2016,"$200,000.00 ",4627,0,2,R1-1-RIO,1234,4,"(34.1478, -118.35758)"
16014-30000-02226,1 or 2 Family Dwelling,7/22/2016,"$200,000.00 ",2523,0,1,R1-1VLD,1112,11,"(34.00886, -118.44963)"
16014-10000-03583,1 or 2 Family Dwelling,7/28/2016,"$36,000.00 ",350,,0,R1-1,350,14,"(34.06405, -118.1879)"
16014-20000-01151,1 or 2 Family Dwelling,7/25/2016,"$50,000.00 ",1248.8,,2,R1-1-RFA,604.9,7,
16014-10000-02404,1 or 2 Family Dwelling,7/22/2016,"$50,000.00 ",1251,0,1,R1-1-RFA,499,7,"(34.25367, -118.30143)"
15014-10000-02364,1 or 2 Family Dwelling,7/22/2016,"$200,000.00 ",2852,0,2,R1-1,1502,5,"(34.02798, -118.42112)"
14010-10000-03787,Commercial,7/22/2016,"$5,532,084.00 ",32749,34,5,C2-1,56148,5,"(34.02072, -118.40287)"
16014-10000-03411,1 or 2 Family Dwelling,7/27/2016,"$50,000.00 ",1381,0,1,R1-1,495,15,"(33.88498, -118.2841)"
16014-20000-01837,1 or 2 Family Dwelling,7/28/2016,"$84,000.00 ",2178,,1,R1-1,690,11,"(34.04532, -118.54493)"
16014-20000-03529,1 or 2 Family Dwelling,7/26/2016,"$37,100.00 ",367.7,,0,R1-1-RIO,367.7,3,"(34.18942, -118.51878)"
16014-20000-00118,1 or 2 Family Dwelling,7/26/2016,"$71,000.00 ",560,,2,R1-1-O,660,5,"(34.04008, -118.41584)"
16014-20000-02077,1 or 2 Family Dwelling,7/22/2016,"$100,000.00 ",173,,0,R1-1,173,11,"(33.96548, -118.40809)"
15010-10000-03768,1 or 2 Family Dwelling,7/25/2016,"$200,000.00 ",1527,1,3,R3-1,1896,4,"(34.05631, -118.3141)"
16014-10000-01805,1 or 2 Family Dwelling,7/22/2016,"$50,000.00 ",1395.7,,1,R1-1XL,150.7,15,"(33.72017, -118.30425)"
16014-20000-00475,1 or 2 Family Dwelling,7/27/2016,"$80,000.00 ",933.5,,1,A2-1-K,573.5,7,"(34.23449, -118.35081)"
16014-20000-01389,1 or 2 Family Dwelling,7/28/2016,"$16,000.00 ",378,0,0,R1-1,378,11,"(34.04837, -118.54514)"
15014-10000-05310,1 or 2 Family Dwelling,7/28/2016,"$50,000.00 ",1810,0,1,R1-1,362,4,"(34.1092, -118.31782)"
15014-10000-05437,1 or 2 Family Dwelling,7/28/2016,"$200,000.00 ",3216,0,2,R1-1-O,1357,5,"(34.04074, -118.38859)"
15010-20000-02358,Apartment,7/28/2016,"$1,400,000.00 ",12804,8,3,R3-1,16345,10,"(34.05699, -118.34292)"
16010-20000-00400,1 or 2 Family Dwelling,7/27/2016,"$440,000.00 ",3362,1,2,[T]RE-1,3803,12,"(34.29249, -118.57931)"
16010-20000-00387,1 or 2 Family Dwelling,7/27/2016,"$440,000.00 ",3362,1,2,[T]RE-1,3803,12,"(34.29119, -118.57878)"
16010-20000-00082,1 or 2 Family Dwelling,7/25/2016,"$545,000.00 ",3578,1,2,R1-1,3958,7,"(34.25645, -118.32546)"
16014-10000-01235,1 or 2 Family Dwelling,7/26/2016,"$348,000.00 ",4338,,2,R1-1,3454,11,"(34.04311, -118.54354)"
16010-10000-02283,1 or 2 Family Dwelling,7/27/2016,"$18,000.00 ",0,,1,R2-1,267,8,"(33.93736, -118.26197)"
16014-20000-03175,1 or 2 Family Dwelling,7/25/2016,"$48,000.00 ",460,,1,R1-1,400,2,"(34.20505, -118.36718)"
16010-20000-01694,1 or 2 Family Dwelling,7/25/2016,"$350,000.00 ",2445.2,1,2,R1-1-RFA,2845.2,7,
15010-10000-03777,1 or 2 Family Dwelling,7/25/2016,"$200,000.00 ",1527,1,3,R3-1,1896,4,"(34.05631, -118.3141)"
16014-30000-02542,Commercial,7/22/2016,"$30,000.00 ",550,,0,M3-1,550,14,"(34.01738, -118.21623)"
16010-20000-00081,1 or 2 Family Dwelling,7/25/2016,"$545,000.00 ",3578,1,2,R1-1,3958,7,"(34.25647, -118.32526)"
16014-20000-03285,1 or 2 Family Dwelling,7/28/2016,"$85,000.00 ",749,,0,R1-1,749,2,"(34.18393, -118.38)"
16014-20000-03465,1 or 2 Family Dwelling,7/27/2016,"$16,800.00 ",166,,1,R1-1,166,3,"(34.16568, -118.58928)"
16014-20000-02881,1 or 2 Family Dwelling,7/28/2016,"$95,000.00 ",1056,,0,RS-1,1056,12,"(34.19312, -118.644)"
16010-30000-01744,1 or 2 Family Dwelling,7/26/2016,"$959,000.00 ",6279,1,2,RE11-1,10554,11,"(34.04428, -118.48553)"
16014-10000-03596,1 or 2 Family Dwelling,7/28/2016,"$5,000.00 ",377,0,2,R1-1,377,1,"(34.12044, -118.21763)"
15014-10000-04342,1 or 2 Family Dwelling,7/25/2016,"$60,397.00 ",478.5,,0,R1-1,480,1,"(34.1108, -118.21523)"
16014-70000-03046,1 or 2 Family Dwelling,7/26/2016,"$17,500.00 ",169,,0,R1-1,169,8,"(33.98643, -118.31781)"
15010-10000-04573,1 or 2 Family Dwelling,7/26/2016,"$7,100,000.00 ",9817,1,3,R1-1,16532,4,"(34.09935, -118.3728)"
16014-10000-01096,1 or 2 Family Dwelling,7/27/2016,"$160,000.00 ",2430.1,0,1,R1-1,1064.7,2,"(34.17744, -118.39572)"
16010-10000-00672,1 or 2 Family Dwelling,7/28/2016,"$78,500.00 ",948,,2,RD3-1VL,948,13,"(34.08738, -118.25612)"
16014-30000-02474,1 or 2 Family Dwelling,7/28/2016,"$100,000.00 ",1807,,2,RE15-1-H,559,5,"(34.11376, -118.46391)"
16014-20000-03368,1 or 2 Family Dwelling,7/22/2016,"$22,000.00 ",425.25,0,0,R1-1-CUGU,400.25,7,"(34.2752, -118.41537)"
15010-10000-03766,1 or 2 Family Dwelling,7/25/2016,"$200,000.00 ",1527,1,3,R3-1,1896,4,"(34.05631, -118.3141)"
16014-40000-02319,1 or 2 Family Dwelling,7/27/2016,"$600,000.00 ",3117,0,2,R1-1-O,1963,5,"(34.0415, -118.42011)"
16014-10000-01551,1 or 2 Family Dwelling,7/26/2016,"$60,000.00 ",1718,0,1,R1-1,431,14,"(34.14181, -118.19341)"
15014-30000-02922,1 or 2 Family Dwelling,7/26/2016,"$150,000.00 ",646,,2,R1-1-O,1016,11,"(33.98384, -118.46332)"
16010-10000-01066,1 or 2 Family Dwelling,7/22/2016,"$385,000.00 ",3212,2,2,R2-1,3726,8,"(33.93634, -118.28084)"
16014-20000-02912,1 or 2 Family Dwelling,7/26/2016,"$300,000.00 ",1374,,0,RE15-1-H,1423,4,"(34.11885, -118.3463)"
13010-10009-00400,1 or 2 Family Dwelling,7/22/2016,"$16,000.00 ",0,0,0,RE15-1-H,60,4,"(34.10119, -118.39142)"
15014-10000-05118,Apartment,7/22/2016,"$300,000.00 ",3933,2,2,R4-1,2633,14,
14010-10000-02109,1 or 2 Family Dwelling,1/16/2015,"$264,780.00 ",2130,1,3,[Q]C2-1VL,2757,11,"(33.9601, -118.40419)"
16014-20000-02121,1 or 2 Family Dwelling,7/27/2016,"$277,400.00 ",752,0,2,R1-1,752,5,"(34.03751, -118.39381)"
16016-70000-15767,1 or 2 Family Dwelling,7/25/2016,"$15,000.00 ",100,0,0,RD1.5-1,100,9,"(34.00793, -118.28634)"
16010-20000-00396,1 or 2 Family Dwelling,7/27/2016,"$410,000.00 ",3101,1,2,[T]RE-1,3536,12,"(34.29255, -118.57944)"
16014-10000-02283,1 or 2 Family Dwelling,7/28/2016,"$80,000.00 ",624,,2,R2-1XL,293,5,"(34.0843, -118.36787)"
15010-20000-00207,1 or 2 Family Dwelling,7/28/2016,"$6,500.00 ",,0,1,RE11-1,324,3,"(34.17221, -118.61056)"
15014-30001-04716,1 or 2 Family Dwelling,7/26/2016,$501.00 ,0,0,0,R1-1,250,11,"(33.95927, -118.44223)"
16014-10000-02521,1 or 2 Family Dwelling,7/25/2016,"$50,000.00 ",1732,0,1,R1-1,495,8,"(33.99425, -118.3357)"
15010-10000-03780,1 or 2 Family Dwelling,7/25/2016,"$200,000.00 ",1527,1,3,R3-1,1896,4,"(34.05631, -118.3141)"
15016-40000-05472,Commercial,7/27/2016,"$4,000,000.00 ",37468,,2,R1-1XL,538,15,"(33.72945, -118.31623)"
16014-10000-00104,Commercial,7/25/2016,"$1,900,000.00 ",5438,,22,C2-4D,5438,14,"(34.04581, -118.25842)"
16014-10000-02485,1 or 2 Family Dwelling,7/27/2016,"$32,000.00 ",1073,,0,R2-1,300,8,"(33.93736, -118.26197)"
16014-20000-03577,1 or 2 Family Dwelling,7/28/2016,"$25,000.00 ",54,,0,RS-1,54,2,"(34.21774, -118.40401)"
16014-20000-02268,1 or 2 Family Dwelling,7/25/2016,"$26,000.00 ",1605.83,0,1,R1-1,324,6,"(34.23704, -118.41671)"
16014-20000-02042,1 or 2 Family Dwelling,7/25/2016,"$17,000.00 ",295,,0,R1-1,254,7,"(34.2463, -118.27893)"
16014-30000-03524,1 or 2 Family Dwelling,7/25/2016,"$50,000.00 ",1785,0,1,R1-1,495,11,"(34.00287, -118.4025)"
16014-20000-03372,1 or 2 Family Dwelling,7/22/2016,"$50,000.00 ",584,,0,R1-1,584,6,"(34.2134, -118.43349)"
16010-20000-03237,1 or 2 Family Dwelling,7/22/2016,"$20,000.00 ",1000,,1,RA-1,1000,12,"(34.23111, -118.50536)"
16014-20000-02592,1 or 2 Family Dwelling,7/26/2016,"$42,000.00 ",420,,1,R1-1,420,6,"(34.24689, -118.43593)"
16014-30000-02245,1 or 2 Family Dwelling,7/22/2016,"$255,000.00 ",2999,0,2,R1-1,1958.3,5,"(34.02908, -118.41811)"
16014-10000-01574,1 or 2 Family Dwelling,7/22/2016,"$15,000.00 ",857,,0,R1-1,857,2,"(34.17321, -118.40829)"
16014-20000-02008,1 or 2 Family Dwelling,7/26/2016,"$85,000.00 ",818,,0,R1-1,818,11,"(34.04713, -118.53477)"
16010-20000-00960,1 or 2 Family Dwelling,7/25/2016,"$621,000.00 ",4272.38,1,2,RA-1,4990.97,3,
16014-20000-03389,1 or 2 Family Dwelling,7/22/2016,"$6,000.00 ",0,,0,R1-1,180,12,"(34.2205, -118.51759)"
15010-10000-01344,Apartment,7/27/2016,"$3,126,360.00 ",23440,7,3,RD2-1,25828,4,"(34.15569, -118.3617)"
16014-20000-03163,1 or 2 Family Dwelling,7/22/2016,"$20,000.00 ",0,,1,R1-1,210,5,"(34.07446, -118.36569)"
16014-30000-02789,1 or 2 Family Dwelling,7/28/2016,"$300,000.00 ",3728,0,2,R1-1,2457,11,"(33.97219, -118.39112)"
16014-30000-01968,1 or 2 Family Dwelling,7/25/2016,"$100,000.00 ",1545,0,0,R1-1,768,11,"(33.96993, -118.37668)"
15010-10000-00388,1 or 2 Family Dwelling,7/25/2016,"$839,400.00 ",5243,1,2,R1-1VLD,5846,11,"(34.00455, -118.45362)"
16014-10000-03188,1 or 2 Family Dwelling,7/27/2016,"$60,100.00 ",1302,0,1,R1-1,496,11,"(33.95778, -118.3898)"
16014-20000-01958,1 or 2 Family Dwelling,7/28/2016,"$228,000.00 ",4950,,1,R1-1,2546,2,"(34.15954, -118.40185)"
16014-10000-03426,1 or 2 Family Dwelling,7/28/2016,"$8,000.00 ",0,,0,RS-1,350,12,"(34.27635, -118.48223)"
15014-30000-05516,1 or 2 Family Dwelling,7/28/2016,"$300,000.00 ",2840,0,2,R1-1XL,689,15,"(33.72687, -118.32124)"
16014-20000-03553,1 or 2 Family Dwelling,7/27/2016,"$41,000.00 ",407,0,0,R1-1,407,2,"(34.21038, -118.36491)"
14010-10000-02110,1 or 2 Family Dwelling,1/16/2015,"$264,780.00 ",2114,1,3,[Q]C2-1VL,2757,11,"(33.9601, -118.40419)"
14010-20000-02194,1 or 2 Family Dwelling,7/27/2016,"$200,000.00 ",1750,1,2,R1-1,2134,7,"(34.25706, -118.40524)"
16010-10000-00986,1 or 2 Family Dwelling,7/27/2016,"$1,000,000.00 ",11164,1,2,RE20-1-H,11374,11,"(34.06412, -118.4939)"
16014-10000-02632,1 or 2 Family Dwelling,7/28/2016,"$35,000.00 ",1184,0,1,R1-1,340,15,"(33.9254, -118.26612)"
16014-20000-03523,1 or 2 Family Dwelling,7/28/2016,"$8,500.00 ",424,0,0,RS-1,424,6,"(34.22978, -118.46093)"
16014-10000-03127,1 or 2 Family Dwelling,7/28/2016,"$50,000.00 ",248,0,2,R1-1,248,5,"(34.07494, -118.43323)"
16010-70000-01900,1 or 2 Family Dwelling,7/25/2016,"$420,000.00 ",3262,2,2,[Q]R4-1,3936,8,"(33.94248, -118.26482)"
16014-20000-03507,1 or 2 Family Dwelling,7/25/2016,"$10,000.00 ",292,0,0,RE15-1,292,7,"(34.2523, -118.30327)"
16010-20000-00390,1 or 2 Family Dwelling,7/27/2016,"$440,000.00 ",3362,1,2,[T]RE-1,3803,12,"(34.29283, -118.57916)"
16010-30000-01094,1 or 2 Family Dwelling,7/26/2016,"$535,000.00 ",2185,1,2,RD2-1VL,2185,13,
16010-20000-01243,1 or 2 Family Dwelling,7/26/2016,"$38,000.00 ",200,,1,RA-1,200,12,"(34.24325, -118.51294)"
16014-20000-01364,1 or 2 Family Dwelling,7/27/2016,"$83,000.00 ",905,,0,R1-1,905,6,"(34.24497, -118.4306)"
16010-10000-00987,1 or 2 Family Dwelling,7/27/2016,"$100,000.00 ",822,,1,RE20-1-H,822,11,"(34.06412, -118.4939)"
16010-20000-00388,1 or 2 Family Dwelling,7/27/2016,"$430,000.00 ",3217,1,2,[T]RE-1,3669,12,"(34.29125, -118.57862)"
15010-10000-04220,1 or 2 Family Dwelling,7/25/2016,"$121,000.00 ",1190,,1,R1-1,1590,15,"(33.92239, -118.28476)"
16014-30000-02000,1 or 2 Family Dwelling,7/22/2016,"$200,000.00 ",3426,0,0,RE15-1-H-RPD,495,5,"(34.11702, -118.44401)"
16010-20000-00403,1 or 2 Family Dwelling,7/27/2016,"$410,000.00 ",3101,1,2,[T]RE-1,3536,12,"(34.29143, -118.57892)"
16010-20000-02821,1 or 2 Family Dwelling,7/26/2016,"$6,000.00 ",0,,1,RE40-1-K,380,7,"(34.2524, -118.34484)"
16014-20000-02574,1 or 2 Family Dwelling,7/28/2016,"$300,000.00 ",1903,0,2,R1-1-O,2283,5,"(34.04738, -118.4265)"
16014-20000-02889,1 or 2 Family Dwelling,7/26/2016,"$43,450.00 ",430,0,1,RD2-1,430,2,"(34.15837, -118.39549)"
16010-30000-02001,1 or 2 Family Dwelling,7/22/2016,"$22,000.00 ",0,0,1,R1-1,400,5,"(34.02908, -118.41811)"
16014-20000-02375,1 or 2 Family Dwelling,7/22/2016,"$31,000.00 ",0,,2,RE15-1-H,0,11,"(34.07543, -118.55804)"
16014-20000-02686,1 or 2 Family Dwelling,7/28/2016,"$350,000.00 ",1638,,2,R1-1,1638,5,"(34.04713, -118.3837)"
15010-10000-03779,1 or 2 Family Dwelling,7/25/2016,"$200,000.00 ",1527,1,3,R3-1,1896,4,"(34.05631, -118.3141)"
16014-20000-03502,1 or 2 Family Dwelling,7/22/2016,"$5,000.00 ",205,,1,R1-1,205,3,"(34.16664, -118.60694)"
16010-30000-01947,1 or 2 Family Dwelling,7/22/2016,"$375,000.00 ",3747,1,2,R1-1,4108,4,"(34.16588, -118.45371)"
15010-10000-03781,1 or 2 Family Dwelling,7/25/2016,"$200,000.00 ",1527,1,3,R3-1,1896,4,"(34.05631, -118.3141)"
15010-20000-01239,1 or 2 Family Dwelling,9/11/2015,"$121,200.00 ",1127,1,1,RA-1,1127,12,
15014-30000-03435,1 or 2 Family Dwelling,7/25/2016,"$40,000.00 ",4120,0,0,RD1.5-1-O,100,10,"(34.05435, -118.36422)"
16014-70000-02225,1 or 2 Family Dwelling,7/26/2016,"$12,100.00 ",120,0,0,R1-1,120,8,"(33.94889, -118.31694)"
16014-10000-03126,1 or 2 Family Dwelling,7/28/2016,"$75,000.00 ",1999,0,0,R1-1VLD,64,11,"(33.99758, -118.44774)"
16014-10000-03169,1 or 2 Family Dwelling,7/28/2016,"$62,000.00 ",1313,0,1,R1-1XL-O-CUGU,609,15,"(33.78545, -118.2685)"
16014-20000-03032,1 or 2 Family Dwelling,7/26/2016,"$25,000.00 ",225,0,1,RE15-1-H,0,4,
13010-20003-03731,1 or 2 Family Dwelling,7/27/2016,"$500,000.00 ",5545,,1,RE20-1-H,5545,5,"(34.085, -118.44016)"
16010-20000-02523,1 or 2 Family Dwelling,7/25/2016,"$42,000.00 ",402,,1,R1-1,402,6,"(34.20744, -118.46255)"
16010-20000-01265,1 or 2 Family Dwelling,7/26/2016,"$857,000.00 ",7829,1,2,R1-1-RIO,8219,4,"(34.14661, -118.34736)"
14010-10000-03420,1 or 2 Family Dwelling,7/26/2016,"$1,000,000.00 ",6286.3,1,3,R1-1,6698.8,11,"(33.96427, -118.43488)"
16014-20000-03128,1 or 2 Family Dwelling,7/28/2016,"$36,000.00 ",387.5,0,0,RS-1,387.5,12,"(34.28684, -118.5061)"
15010-10000-03778,1 or 2 Family Dwelling,7/25/2016,"$200,000.00 ",1527,1,3,R3-1,1896,4,"(34.05631, -118.3141)"
16014-20000-02014,1 or 2 Family Dwelling,7/28/2016,"$6,000.00 ",373,,0,RA-1-K,373,12,"(34.27072, -118.59356)"
16010-20000-00380,1 or 2 Family Dwelling,7/27/2016,"$42,000.00 ",0,,1,A2-1-K,695,7,"(34.23449, -118.35081)"
16014-20000-01513,1 or 2 Family Dwelling,7/25/2016,"$135,000.00 ",667,,1,R1-1-RIO,667,6,"(34.18948, -118.51666)"
16014-20000-03534,1 or 2 Family Dwelling,7/28/2016,"$5,000.00 ",215,,0,RD6-1,215,12,"(34.28808, -118.56978)"
15010-10000-00324,Apartment,7/27/2016,"$2,065,000.00 ",12179,8,4,R3-1,17247,4,"(34.08647, -118.3311)"
16014-20000-01390,1 or 2 Family Dwelling,7/26/2016,"$60,000.00 ",3588,0,1,RA-1,937,12,"(34.24325, -118.51294)"
16010-10000-00840,1 or 2 Family Dwelling,7/28/2016,"$20,000.00 ",,,1,R1-1-O,400,5,"(34.04074, -118.38859)"
16010-70000-01899,1 or 2 Family Dwelling,7/25/2016,"$420,000.00 ",3262,2,2,[Q]R4-1,3937,8,"(33.94243, -118.26483)"
15014-20000-05922,1 or 2 Family Dwelling,7/26/2016,"$200,000.00 ",1549,,2,R1-1,1549,11,"(34.06751, -118.4636)"
15014-10000-05327,1 or 2 Family Dwelling,7/25/2016,"$80,000.00 ",1957,,1,R1-1,646,15,"(33.92239, -118.28476)"
